ICD Code,Indication,Active ingredient
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Lamotrigine 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Lamotrigine 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Lamotrigine 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Lamotrigine 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Lamotrigine 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Lamotrigine 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Lamotrigine 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Lamotrigine 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Lamotrigine 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Lamotrigine 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Lamotrigine 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Lamotrigine 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Lamotrigine 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Levetiracetam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Clobazam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Clobazam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Topiramate 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Topiramate 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Topiramate 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Topiramate 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Topiramate 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Topiramate 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Topiramate 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Topiramate 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Topiramate 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Topiramate 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Topiramate 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Topiramate 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Topiramate 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Topiramate 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Clonzepam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Clonzepam 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Clonzepam 
M77.9,Active Enthesitis Juvenile Arthritis,ADALIMUMAB
M77.9,Active Enthesitis Juvenile Arthritis,Adalimumab
M77.9,Active Enthesitis Juvenile Arthritis,Adalimumab
M77.9,Active Enthesitis Juvenile Arthritis,ETANERCEPT
M77.9,Active Enthesitis Juvenile Arthritis,INFLIXIMAB
M77.9,Active Enthesitis Juvenile Arthritis,INFLIXIMAB
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN 
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN 
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN HYDROCHLORIDE
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN 
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,CIPROFLOXACIN
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN HEMIHYDRATE
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN HEMIHYDRATE
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN HEMIHYDRATE
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN HEMIHYDRATE
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN HEMIHYDRATE
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN HEMIHYDRATE
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN HEMIHYDRATE
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN HEMIHYDRATE
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN HEMIHYDRATE
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN HEMIHYDRATE
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN (AS HEMIHYDRATE)
N41.0,Acute Bacterial Prostatitis,LEVOFLOXACIN
N41.0,Acute Bacterial Prostatitis,OFLOXACIN
N41.0,Acute Bacterial Prostatitis,OFLOXACIN
N41.0,Acute Bacterial Prostatitis,OFLOXACIN
N41.0,Acute Bacterial Prostatitis,"PIPERACILLIN, TAZOBACTAM"
N41.0,Acute Bacterial Prostatitis,"PIPERACILLIN, TAZOBACTAM"
N41.0,Acute Bacterial Prostatitis,"PIPERACILLIN, TAZOBACTAM"
N41.0,Acute Bacterial Prostatitis,"PIPERACILLIN, TAZOBACTAM"
N41.0,Acute Bacterial Prostatitis,"PIPERACILLIN, TAZOBACTAM"
N41.0,Acute Bacterial Prostatitis,"PIPERACILLIN, TAZOBACTAM"
N41.0,Acute Bacterial Prostatitis,"PIPERACILLIN, TAZOBACTAM"
N41.0,Acute Bacterial Prostatitis,"PIPERACILLIN, TAZOBACTAM"
N41.0,Acute Bacterial Prostatitis,"PIPERACILLIN, TAZOBACTAM"
N41.0,Acute Bacterial Prostatitis,CEFIXIME 
N41.0,Acute Bacterial Prostatitis,CEFIXIME 
N41.0,Acute Bacterial Prostatitis,CEFIXIME
N41.0,Acute Bacterial Prostatitis,CEFIXIME
N41.0,Acute Bacterial Prostatitis,CEFIXIME
N41.0,Acute Bacterial Prostatitis,CEFIXIME
N41.0,Acute Bacterial Prostatitis,CEFIXIME
N41.0,Acute Bacterial Prostatitis,CEFIXIME
N41.0,Acute Bacterial Prostatitis,CEFIXIME
N41.0,Acute Bacterial Prostatitis,CEFIXIME
N41.0,Acute Bacterial Prostatitis,CEFIXIME
N41.0,Acute Bacterial Prostatitis,CEFIXIME
N41.0,Acute Bacterial Prostatitis,CEFIXIME
N41.0,Acute Bacterial Prostatitis,CEFIXIME
N41.0,Acute Bacterial Prostatitis,CEFIXIME TRIHYDRATE
N41.0,Acute Bacterial Prostatitis,CEFIXIME
N41.0,Acute Bacterial Prostatitis,CEFIXIME
N41.0,Acute Bacterial Prostatitis,CEFIXIME TRIHYDRATE
N41.0,Acute Bacterial Prostatitis,CEFIXIME TRIHYDRATE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,"CEFTRIAXONE, LIDOCAINE"
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,"CEFTRIAXONE, LIDOCAINE"
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTRIAXONE
N41.0,Acute Bacterial Prostatitis,CEFTAZIDIME
N41.0,Acute Bacterial Prostatitis,CEFTAZIDIME
N41.0,Acute Bacterial Prostatitis,CEFTAZIDIME
N41.0,Acute Bacterial Prostatitis,CEFTAZIDIME
N41.0,Acute Bacterial Prostatitis,CEFTAZIDIME
N41.0,Acute Bacterial Prostatitis,CEFTAZIDIME
N41.0,Acute Bacterial Prostatitis,CEFTAZIDIME
N41.0,Acute Bacterial Prostatitis,CEFTAZIDIME
N41.0,Acute Bacterial Prostatitis,CEFTAZIDIME
N41.0,Acute Bacterial Prostatitis,CEFTAZIDIME
N41.0,Acute Bacterial Prostatitis,CEFTAZIDIME
N41.0,Acute Bacterial Prostatitis,CEFTAZIDIME
N41.0,Acute Bacterial Prostatitis,CEFTAZIDIME
N41.0,Acute Bacterial Prostatitis,CEFOTAXIME
N41.0,Acute Bacterial Prostatitis,CEFOTAXIME
N41.0,Acute Bacterial Prostatitis,CEFOTAXIME
N41.0,Acute Bacterial Prostatitis,CEFOTAXIME
N41.0,Acute Bacterial Prostatitis,CEFOTAXIME
N41.0,Acute Bacterial Prostatitis,CEFOTAXIME
N41.0,Acute Bacterial Prostatitis,CEFOTAXIME
N41.0,Acute Bacterial Prostatitis,CEFOTAXIME
N41.0,Acute Bacterial Prostatitis,CEFEPIME HYDROCHLORIDE
N41.0,Acute Bacterial Prostatitis,CEFEPIME HYDROCHLORIDE
N41.0,Acute Bacterial Prostatitis,CEFEPIME HYDROCHLORIDE
N41.0,Acute Bacterial Prostatitis,CEFEPIME HYDROCHLORIDE
N41.0,Acute Bacterial Prostatitis,CEFEPIME HYDROCHLORIDE
N41.0,Acute Bacterial Prostatitis,CEFEPIME HYDROCHLORIDE
N41.0,Acute Bacterial Prostatitis,"IMIPENEM, CILASTATIN"
N41.0,Acute Bacterial Prostatitis,"IMIPENEM, CILASTATIN"
N41.0,Acute Bacterial Prostatitis,"IMIPENEM , CILASTATIN"
N41.0,Acute Bacterial Prostatitis,"IMIPENEM , CILASTATIN"
N41.0,Acute Bacterial Prostatitis,"IMIPENEM , CILASTATIN"
N41.0,Acute Bacterial Prostatitis,MEROPENEM
N41.0,Acute Bacterial Prostatitis,MEROPENEM
N41.0,Acute Bacterial Prostatitis,MEROPENEM
N41.0,Acute Bacterial Prostatitis,MEROPENEM
N41.0,Acute Bacterial Prostatitis,MEROPENEM
N41.0,Acute Bacterial Prostatitis,MEROPENEM
N41.0,Acute Bacterial Prostatitis,MEROPENEM
N41.0,Acute Bacterial Prostatitis,MEROPENEM
N41.0,Acute Bacterial Prostatitis,MEROPENEM TRIHYDRATE
N41.0,Acute Bacterial Prostatitis,MEROPENEM TRIHYDRATE
N41.0,Acute Bacterial Prostatitis,ERTAPENEM SODIUM
N41.0,Acute Bacterial Prostatitis,DOXYCYCLINE
N41.0,Acute Bacterial Prostatitis,DOXYCYCLINE
N41.0,Acute Bacterial Prostatitis,DOXYCYCLINE
N41.0,Acute Bacterial Prostatitis,DOXYCYCLINE
N41.0,Acute Bacterial Prostatitis,DOXYCYCLINE
N41.0,Acute Bacterial Prostatitis,DOXYCYCLINE
N41.0,Acute Bacterial Prostatitis,DOXYCYCLINE
N41.0,Acute Bacterial Prostatitis,DOXYCYCLINE
N41.0,Acute Bacterial Prostatitis,DOXYCYCLINE
N41.0,Acute Bacterial Prostatitis,"SULFAMETHOXAZOLE, TRIMETHOPRIM"
N41.0,Acute Bacterial Prostatitis,"SULFAMETHOXAZOLE, TRIMETHOPRIM"
N41.0,Acute Bacterial Prostatitis,"SULFAMETHOXAZOLE, TRIMETHOPRIM"
N41.0,Acute Bacterial Prostatitis,"SULFAMETHOXAZOLE, TRIMETHOPRIM"
N41.0,Acute Bacterial Prostatitis,"SULFAMETHOXAZOLE, TRIMETHOPRIM"
N41.0,Acute Bacterial Prostatitis,"SULFAMETHOXAZOLE, TRIMETHOPRIM"
N41.0,Acute Bacterial Prostatitis,"SULFAMETHOXAZOLE, TRIMETHOPRIM"
N41.0,Acute Bacterial Prostatitis,"SULFAMETHOXAZOLE, TRIMETHOPRIM"
N41.0,Acute Bacterial Prostatitis,"SULFAMETHOXAZOLE, TRIMETHOPRIM"
N41.0,Acute Bacterial Prostatitis,"SULFAMETHOXAZOLE, TRIMETHOPRIM"
N41.0,Acute Bacterial Prostatitis,"SULFAMETHOXAZOLE, TRIMETHOPRIM"
N41.0,Acute Bacterial Prostatitis,"SULFAMETHOXAZOLE, TRIMETHOPRIM"
N41.0,Acute Bacterial Prostatitis,"SULFAMETHOXAZOLE, TRIMETHOPRIM"
N41.0,Acute Bacterial Prostatitis,GENTAMICIN
N41.0,Acute Bacterial Prostatitis,GENTAMICIN
N41.0,Acute Bacterial Prostatitis,AMIKACIN
N41.0,Acute Bacterial Prostatitis,AMIKACIN
N41.0,Acute Bacterial Prostatitis,AMIKACIN
N41.0,Acute Bacterial Prostatitis,AMIKACIN
N41.0,Acute Bacterial Prostatitis,AMIKACIN
N41.0,Acute Bacterial Prostatitis,AMIKACIN
"F31.1, F31.2, F31.3, F31.4, F31.5, F31.6, F31.7",Acute Bipolar I Depression,LITHIUM CITRATE
"F31.1, F31.2, F31.3, F31.4, F31.5, F31.6, F31.7",Acute Bipolar I Depression,LITHIUM SULPHATE
"F31.1, F31.2, F31.3, F31.4, F31.5, F31.6, F31.7",Acute Bipolar I Depression,ARIPIPRAZOLE
"F31.1, F31.2, F31.3, F31.4, F31.5, F31.6, F31.7",Acute Bipolar I Depression,ARIPIPRAZOLE
"F31.1, F31.2, F31.3, F31.4, F31.5, F31.6, F31.7",Acute Bipolar I Depression,ARIPIPRAZOLE
"F31.1, F31.2, F31.3, F31.4, F31.5, F31.6, F31.7",Acute Bipolar I Depression,ARIPIPRAZOLE
"F31.1, F31.2, F31.3, F31.4, F31.5, F31.6, F31.7",Acute Bipolar I Depression,ARIPIPRAZOLE
"F31.1, F31.2, F31.3, F31.4, F31.5, F31.6, F31.7",Acute Bipolar I Depression,ARIPIPRAZOLE
"F31.1, F31.2, F31.3, F31.4, F31.5, F31.6, F31.7",Acute Bipolar I Depression,ARIPIPRAZOLE
"F31.1, F31.2, F31.3, F31.4, F31.5, F31.6, F31.7",Acute Bipolar I Depression,ARIPIPRAZOLE
"F31.1, F31.2, F31.3, F31.4, F31.5, F31.6, F31.7",Acute Bipolar I Depression,ARIPIPRAZOLE
"F31.1, F31.2, F31.3, F31.4, F31.5, F31.6, F31.7",Acute Bipolar I Depression,ARIPIPRAZOLE
"F31.1, F31.2, F31.3, F31.4, F31.5, F31.6, F31.7",Acute Bipolar I Depression,ARIPIPRAZOLE
"F31.1, F31.2, F31.3, F31.4, F31.5, F31.6, F31.7",Acute Bipolar I Depression,ARIPIPRAZOLE
"F31.1, F31.2, F31.3, F31.4, F31.5, F31.6, F31.7",Acute Bipolar I Depression,ARIPIPRAZOLE 
"F31.1, F31.2, F31.3, F31.4, F31.5, F31.6, F31.7",Acute Bipolar I Depression,ARIPIPRAZOLE 
"F31.1, F31.2, F31.3, F31.4, F31.5, F31.6, F31.7",Acute Bipolar I Depression,ARIPIPRAZOLE 
"F31.1, F31.2, F31.3, F31.4, F31.5, F31.6, F31.7",Acute Bipolar I Depression,OLANZAPINE
"F31.1, F31.2, F31.3, F31.4, F31.5, F31.6, F31.7",Acute Bipolar I Depression,OLANZAPINE
"F31.1, F31.2, F31.3, F31.4, F31.5, F31.6, F31.7",Acute Bipolar I Depression,OLANZAPINE
"F31.1, F31.2, F31.3, F31.4, F31.5, F31.6, F31.7",Acute Bipolar I Depression,OLANZAPINE
"F31.1, F31.2, F31.3, F31.4, F31.5, F31.6, F31.7",Acute Bipolar I Depression,OLANZAPINE
"F31.1, F31.2, F31.3, F31.4, F31.5, F31.6, F31.7",Acute Bipolar I Depression,OLANZAPINE
"F31.1, F31.2, F31.3, F31.4, F31.5, F31.6, F31.7",Acute Bipolar I Depression,OLANZAPINE
"F31.1, F31.2, F31.3, F31.4, F31.5, F31.6, F31.7",Acute Bipolar I Depression,OLANZAPINE
"F31.1, F31.2, F31.3, F31.4, F31.5, F31.6, F31.7",Acute Bipolar I Depression,OLANZAPINE
"F31.1, F31.2, F31.3, F31.4, F31.5, F31.6, F31.7",Acute Bipolar I Depression,OLANZAPINE
